uri	all	long	error_rate	long_tokens_error_rate	tok_count
0110HasanBasri.FadailMakka.JK000644-ara1.inProgress	52	3	0.01680672268907563	0.0009696186166774402	3094
0110HasanBasri.FadailMakka.Shamela0005722-ara1.mARkdown	69	3	0.022301228183581125	0.0009696186166774402	3094
0110HasanBasri.FadailMakka.Shia003454-ara1	26	1	0.015249266862170088	0.0005865102639296188	1705
0110HasanBasri.TarghibMakka.ShamAY0035241-ara1	13	0	0.006539235412474849	0.0	1988
0110IbnSirin.MuntakhabKalamFiTafsirAhlam.JK006856-ara2	1902	101	0.008995246990943272	0.0004776655867956206	211445
0110IbnSirin.MuntakhabKalamFiTafsirAhlam.ShamAY0034790-ara1	1925	101	0.009105012723368429	0.00047771755068062925	211422
0110IbnSirin.MuntakhabKalamFiTafsirAhlam.Shamela0021615-ara1	1815	61	0.012165042426842182	0.00040885266558532955	149198
0110IbnSirin.MuntakhabKalamFiTafsirAhlam.Shia004640Vols-ara1	2015	48	0.013404290703475803	0.00031930816564111093	150325
0110JarirShacir.Diwan.JK007549-ara1	3494	52	0.06649411943820652	0.0009896091044037606	52546
0110JarirShacir.Diwan.Sham19Y0133412-ara1	8830	161	0.08236095176800888	0.0015017115781029932	107211
0110JarirShacir.Diwan.ShamAY0037926-ara1	3501	61	0.06830286595001658	0.0011900813547417914	51257
0117DhuRumma.Diwan.JK007551-ara1	2588	29	0.09643043445860347	0.0010805574185855876	26838
0117DhuRumma.Diwan.ShamAY0037932-ara1	2589	29	0.09650725015842249	0.001081000484586424	26827
0117IbnDicamaSadusi.NasikhWaMansukh.JK000163-ara1	50	7	0.015332720024532351	0.0021465808034345293	3261
0117IbnDicamaSadusi.NasikhWaMansukh.Shamela0008491-ara1	484	22	0.07269450285370982	0.0033042955842595375	6658
0117IbnDicamaSadusi.NasikhWaMansukh.Shia002458-ara1	1007	20	0.11186403021550767	0.002221728504776716	9002
0120ZaydIbnCali.GharibQuran.Tafsir05089-ara1	902	32	0.023269012485811577	0.0008255082034877722	38764
0122ZaydIbnCali.MajmucRasail.Zaydiyya0000074-ara1	654	43	0.015159592962610973	0.000996731647388795	43141
0122ZaydIbnCali.MansikHajj.Zaydiyya0000065-ara1	83	6	0.006545741324921136	0.00047318611987381704	12680
0122ZaydIbnCali.MansikHajj.Zaydiyya0000269-ara1	309	33	0.026494040984309353	0.0028294606876446884	11663
0122ZaydIbnCali.MusnadZayd.Shia000811-ara1	4434	107	0.043860603602623324	0.0010584313453948346	101093
0122ZaydIbnCali.MusnadZayd.Zaydiyya0000052-ara1	8058	114	0.07946197008096088	0.0011241827487254333	101407
0122ZaydIbnCali.MusnadZayd.Zaydiyya0000056-ara1	603	42	0.01103122770429724	0.000768344218209758	54663
0122ZaydIbnCali.TafsirGharibQuran.Zaydiyya0000297-ara1	523	31	0.013568204223525138	0.0008042339023504384	38546
0124IbnShihabZuhri.TanzilQuran.JK000872-ara2	7	0	0.01206896551724138	0.0	580
0124IbnShihabZuhri.TanzilQuran.ShamAY0034089-ara1	8	0	0.013986013986013986	0.0	572
0124IbnShihabZuhri.TanzilQuran.Shamela0026887-ara1	69	4	0.01846895074946467	0.0010706638115631692	3736
0125NabighaShaybani.Diwan.JK007548-ara1	710	12	0.06493506493506493	0.001097494055240534	10934
0125NabighaShaybani.Diwan.ShamAY0037897-ara1	710	12	0.06494100429891156	0.0010975944388548432	10933
0125Tirimmah.Diwan.JK007546-ara1	1189	14	0.09491498363534764	0.0011175860142093078	12527
0125Tirimmah.Diwan.ShamAY0037894-ara1	1189	14	0.09492256107296823	0.001117675235510139	12526
0126KumaytIbnZaydAsadi.Rawda.Shia003659-ara1	712	28	0.04562347814942971	0.0017941817249775727	15606
0128IbnAbiHabibMisri.AhadithYazid.Shamela0030310-ara1	191	0	0.03739232576350822	0.0	5108
0130CurwaIbnCudhayna.Diwan.JK007554-ara1	393	4	0.05754868941279836	0.0005857372968223752	6829
0130CurwaIbnUdhayna.Diwan.ShamAY0037958-ara1	394	4	0.05770357352079672	0.0005858230814294083	6828
0130IbnBashirKhariji.Diwan.JK007627-ara1	111	1	0.03713616594178655	0.00033456005352960856	2989
0130IbnBashirKhariji.Diwan.ShamAY0037855-ara1	111	1	0.03728585824655694	0.0003359086328518643	2977
0131ZubayrHamdani.NuskhatZubayr.Shamela0029699-ara1	40	4	0.01263823064770932	0.001263823064770932	3165
0132HammamIbnMunabbih.Sahifa.JK000489-ara1	49	2	0.01092530657748049	0.0004459308807134894	4485
0132HammamIbnMunabbih.Sahifa.Shamela0007776-ara1	36	2	0.008012463832628533	0.0004451368795904741	4493
0132HammamIbnMunabbih.Sahifa.Shia001878-ara2	185	13	0.020381183210311776	0.0014321912526165032	9077
0141MusaIbnCuqba.AhadithMinMaghazi.Shamela0001342-ara1	29	3	0.014609571788413099	0.0015113350125944584	1985
0142IbnMuqaffac.AdabKabir.JK009203-ara1	102	5	0.010640517421239308	0.000521593991237221	9586
0142IbnMuqaffac.AdabSaghir.Shamela0037540-ara1.completed	79	3	0.010469122714020673	0.00039756162205141797	7546
0142IbnMuqaffac.AdabSaghirWaKabir.Shamela0007528-ara1	167	4	0.010011390204424195	0.00023979377735147773	16681
0142IbnMuqaffac.KalilaWaDimna.Shamela0026537-ara1	568	19	0.01285707818371135	0.0004300783195255557	44178
0145MufaddalIbnCumarJucfi.Tawhid.Shia001267-ara1	470	26	0.01720855301698887	0.0009519625073227885	27312
0145MufaddalIbnCumarJucfi.Tawhid.Zaydiyya0000117-ara1	1586	30	0.05819756348157933	0.001100836635843241	27252
0146MajacaIbnZubayr.MinHadith.Shamela0026745-ara1	76	7	0.012335659795487746	0.0011361791916896609	6161
0148AbuHamzaThumali.Tafsir.Shia002333-ara1	4876	197	0.05150414061179652	0.0020808686834544532	94672
0148JacfarSadiq.MisbahSharica.Shia001266-ara1	563	8	0.03263768115942029	0.00046376811594202896	17250
0150AbuHanifa.FiqhAbsat.JK006837-ara1	153	0	0.03396980461811723	0.0	4504
0150AbuHanifa.FiqhAbsat.Shamela0006387-ara1.mARkdown	206	0	0.04572697003329634	0.0	4505
0150AbuHanifa.FiqhAkbar.JK001085-ara1.mARkdown	39	1	0.023090586145648313	0.0005920663114268798	1689
0150AbuHanifa.FiqhAkbar.Shamela0006388-ara1	40	1	0.024213075060532687	0.0006053268765133172	1652
0150AbuHanifa.Musnad.Shamela0029120-ara1	290	8	0.010629719228795543	0.00029323363389780805	27282
0150AbuHanifa.Wasiya.ShamAY0035261-ara1	45	4	0.00981889591970325	0.0008727907484180668	4583
0150IbnJurayj.Juz.JK011476-ara1	241	0	0.051178594181354856	0.0	4709
0150IbnJurayj.Juz.ShamAY0033605-ara1	244	0	0.049134111961337094	0.0	4966
0150MuqatilIbnSulayman.TafsirMuqatil.JK007096-ara1	7155	267	0.01867137082568951	0.000696751364145227	383207
0150MuqatilIbnSulayman.TafsirMuqatil.ShamAY0034072-ara1	7156	267	0.01853098683460913	0.0006914160822862825	386164
0150MuqatilIbnSulayman.TafsirMuqatil.Shamela0023614-ara2	11839	414	0.024869811086906744	0.0008696766441405011	476039
0150MuqatilIbnSulayman.TafsirMuqatil.Shia002459Vols-ara1	5985	250	0.01673316129537315	0.0006989624601241917	357673
0150MuqatilIbnSulayman.TafsirMuqatil.Tafsir02067-ara1	13819	318	0.039961828197972844	0.0009195934124723471	345805
0150SalihIbnJinahLakhmi.AdabMurua.Sham19Y0017869-ara1	181	6	0.03139091224419008	0.001040582726326743	5766
0150SalihIbnJinahLakhmi.AdabMurua.ShamAY0038879-ara1	183	7	0.03164447518588968	0.0012104444060176379	5783
0151IbnIshaq.Sira.JK001038-ara1	2392	27	0.05279770444763271	0.0005959607107383291	45305
0151IbnIshaq.Sira.Shamela0009862-ara2.mARkdown	2436	29	0.034492035398230085	0.0004106194690265487	70625
0151IbnIshaq.Sira.Shia003660Vols-ara1	2738	41	0.03853298806575096	0.0005770096825039406	71056
0151MacmarIbnRashid.Jamic.JK000746-ara1	1392	54	0.016276323328227496	0.0006314090946295148	85523
0151MacmarIbnRashid.Jamic.Shamela0005610-ara1	1043	38	0.012139623124643551	0.0004422873238125167	85917
0156IbnAbiCuruba.Manasik.JK011437-ara1	55	0	0.010398941198714312	0.0	5289
0156IbnAbiCuruba.Manasik.Shamela0009811-ara1	49	0	0.010991475998205474	0.0	4458
0157AbuMikhnafAzdi.MaqtalHusayn.Shia003665-ara1	5022	96	0.05562693841382366	0.0010633584404076207	90280
0161SufyanThawri.Faraid.Shamela0026488-ara1	34	0	0.013406940063091483	0.0	2536
0161SufyanThawri.Faraid.Shia001879-ara1	66	2	0.018461538461538463	0.0005594405594405594	3575
0161SufyanThawri.Hadith.Shamela0026548-ara1	187	5	0.013527199074074073	0.0003616898148148148	13824
0161SufyanThawri.Tafsir.JK000457-ara1	581	8	0.026309831091790064	0.00036226961916406287	22083
0161SufyanThawri.Tafsir.Shamela0002229-ara1	1228	33	0.04490766136405193	0.0012068019747668679	27345
0161SufyanThawri.Tafsir.Shia002462-ara1	1275	34	0.04375428963623885	0.0011667810569663693	29140
0161SufyanThawri.Tafsir.Tafsir02099-ara1	633	11	0.03229097587104015	0.0005611386012345049	19603
0164MajishunMadani.Hajj.Shamela0026922-ara1	26	1	0.014380530973451327	0.0005530973451327434	1808
0167BashsharIbnBurdShacir.Diwan.JK007613-ara1	2741	38	0.04042534363754351	0.0005604389121585747	67804
0167BashsharIbnBurdShacir.Diwan.ShamAY0037930-ara1	2751	40	0.04058420004425758	0.0005901010548056355	67785
0167SariIbnYahyaBasri.AhadithSari.Shamela0029701-ara1	89	6	0.010086128739800544	0.0006799637352674524	8824
0168IbnTahman.Mashyakha.JK000625-ara1	298	12	0.02982684415974377	0.001201080972875588	9991
0168IbnTahman.Mashyakha.Shamela0024831-ara1	113	5	0.011231487923665639	0.0004969684921975947	10061
0168MufaddalDabbi.AmthalCarab.JK011034-ara1	1823	97	0.043957368827160496	0.0023389274691358024	41472
0168MufaddalDabbi.AmthalCarab.Shamela0001034-ara1	1435	35	0.042006967009162496	0.0010245601709551828	34161
0168MufaddalDabbi.AmthalCarab.Shamela0009081-ara2	1438	45	0.04015525955711932	0.0012565971349585323	35811
0168MufaddalDabbi.Mufaddaliyat.JK006911-ara1	1781	22	0.06816963943963868	0.0008420730306973895	26126
0168MufaddalDabbi.Mufaddaliyat.Shamela0006904-ara1.completed	1816	22	0.06950930107938452	0.0008420730306973895	26126
0170AbuZaydQurashi.JamharatAshcarCarab.JK006912-ara1	2262	47	0.05920381082000681	0.0012301410736252519	38207
0170AbuZaydQurashi.JamharatAshcarCarab.Shamela0001487-ara1	2190	71	0.05693635607321131	0.0018458818635607322	38464
0170KhalilFarahidi.Cayn.JK000930-ara1	27611	682	0.078437889725037	0.0019374394550170308	352011
0170KhalilFarahidi.Cayn.Shamela0001682-ara1	28383	679	0.07930848522274164	0.0018972787043738002	357881
0170KhalilFarahidi.Cayn.ShamIbadiyya0000225-ara1	44693	952	0.09858017897200282	0.0020998440556988045	453367
0170KhalilFarahidi.Cayn.Shia003887Vols-ara1	39791	726	0.08586323941625686	0.001566603297635206	463423
0170KhalilFarahidi.JumalFiNahw.JK001109-ara1	496	10	0.02011843919850734	0.0004056136935182932	24654
0170KhalilFarahidi.JumalFiNahw.ShamAY0034704-ara1	515	12	0.02094602838898605	0.0004880627974132672	24587
0170KhalilFarahidi.JumalFiNahw.Shamela0006961-ara1	504	10	0.020452885317750184	0.00040581121662202745	24642
0170RabicIbnHabibAzdi.JamicSahih.ShamIbadiyya0000155-ara1	1115	50	0.019386584136036444	0.0008693535487011858	57514
0173SayyidHimyari.Diwan.ShamAY0037888-ara1	672	44	0.037590199697935894	0.0024612630754600883	17877
0175LaythIbnSacd.CasharatAhadith.Shamela0009556-ara1	15	2	0.019430051813471502	0.0025906735751295338	772
0175LaythIbnSacd.Cawali.JK000492-ara1	114	4	0.04984696108439003	0.0017490161783996502	2287
0175LaythIbnSacd.Cawali.Shamela0005676-ara1	69	3	0.03054448871181939	0.0013280212483399733	2259
0175LaythIbnSacd.MajlisMinFawaid.JK000863-ara1	27	0	0.019494584837545126	0.0	1385
0175LaythIbnSacd.MajlisMinFawaid.Shamela0009812-ara1	28	0	0.019662921348314606	0.0	1424
0179MalikIbnAnas.Muwatta.JK000466-ara1	3976	63	0.02676810179418992	0.00042414245800653045	148535
0179MalikIbnAnas.Muwatta.ShamAY0033921-ara1	343	15	0.01033101412608054	0.0004517936206740761	33201
0179MalikIbnAnas.Muwatta.ShamAY0033922-ara1	49	1	0.00847457627118644	0.00017295053614666206	5782
0179MalikIbnAnas.Muwatta.ShamAY0033923-ara1	644	39	0.007376269943990745	0.0004466995773534768	87307
0179MalikIbnAnas.Muwatta.ShamAY0033991-ara1	203	16	0.015175300889586603	0.00119608282873589	13377
